"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1401,2,1401.125,"خراسان جنوبي",330,296,34,0.103030303030303
1399,3,1399.20833333333,"خراسان جنوبي",350,288.2,61.8,0.176571428571429
1400,3,1400.20833333333,"خراسان جنوبي",377,288.2,88.8,0.235543766578249
1401,3,1401.20833333333,"خراسان جنوبي",378,288.2,89.8,0.237566137566138
1399,4,1399.29166666667,"خراسان جنوبي",414,279.4,134.6,0.32512077294686
1400,4,1400.29166666667,"خراسان جنوبي",319,279.4,39.6,0.124137931034483
1401,4,1401.29166666667,"خراسان جنوبي",376,279.4,96.6,0.256914893617021
1399,5,1399.375,"خراسان جنوبي",400,342.900000000001,57.0999999999985,0.142749999999996
1400,5,1400.375,"خراسان جنوبي",402,353.000000000002,48.9999999999982,0.121890547263677
1401,5,1401.375,"خراسان جنوبي",356,363.100000000002,-7.10000000000218,-0.0199438202247252
1399,6,1399.45833333333,"خراسان جنوبي",276,287.8,-11.8,-0.0427536231884058
1400,6,1400.45833333333,"خراسان جنوبي",549,287.8,261.2,0.475774134790528
1401,6,1401.45833333333,"خراسان جنوبي",349,287.8,61.2,0.175358166189112
1399,7,1399.54166666667,"خراسان جنوبي",325,367.700000000001,-42.7000000000007,-0.131384615384618
1400,7,1400.54166666667,"خراسان جنوبي",407,386.200000000004,20.7999999999956,0.0511056511056404
1401,7,1401.54166666667,"خراسان جنوبي",264,404.700000000004,-140.700000000004,-0.532954545454562
1399,8,1399.625,"خراسان جنوبي",730,308.4,421.6,0.577534246575342
1400,8,1400.625,"خراسان جنوبي",340,308.4,31.6,0.0929411764705883
1399,9,1399.70833333333,"خراسان جنوبي",558,374.2,183.8,0.329390681003584
1400,9,1400.70833333333,"خراسان جنوبي",428,374.2,53.8,0.125700934579439
1399,10,1399.79166666667,"خراسان جنوبي",381,350.25,30.75,0.0807086614173228
1400,10,1400.79166666667,"خراسان جنوبي",353,350.25,2.75,0.00779036827195467
1398,11,1398.875,"خراسان جنوبي",314,326.2,-12.2,-0.0388535031847133
1399,11,1399.875,"خراسان جنوبي",264,326.2,-62.2,-0.235606060606061
1400,11,1400.875,"خراسان جنوبي",392,326.2,65.8,0.167857142857143
1398,12,1398.95833333333,"خراسان جنوبي",252,314.8,-62.8,-0.249206349206349
1399,12,1399.95833333333,"خراسان جنوبي",350,314.8,35.2,0.100571428571429
1400,12,1400.95833333333,"خراسان جنوبي",540,314.8,225.2,0.417037037037037
1399,1,1399.04166666667,"خراسان رضوي",2636,2464,172,0.0652503793626707
1400,1,1400.04166666667,"خراسان رضوي",2731,2464,267,0.0977663859392164
1401,1,1401.04166666667,"خراسان رضوي",2653,2464,189,0.0712401055408971
1399,2,1399.125,"خراسان رضوي",2852,2425.8,426.2,0.149438990182328
1400,2,1400.125,"خراسان رضوي",3992,2425.8,1566.2,0.392334669338677
1401,2,1401.125,"خراسان رضوي",2636,2425.8,210.2,0.079742033383915
1399,3,1399.20833333333,"خراسان رضوي",3070,2389.4,680.6,0.221693811074919
1400,3,1400.20833333333,"خراسان رضوي",3157,2389.4,767.6,0.243142223630028
1401,3,1401.20833333333,"خراسان رضوي",2917,2389.4,527.6,0.1808707576277
1399,4,1399.29166666667,"خراسان رضوي",3861,2308.4,1552.6,0.402123802123802
1400,4,1400.29166666667,"خراسان رضوي",2813,2308.4,504.6,0.179381443298969
